,trigger_video_id,trigger_title,trigger_category,mental_health_aspects,binge_trigger_count
10,5511,This was a difficult one! ✍️ link in bio!,Technology,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
11,5510,SHELDON: People can't be in my BEDROOM. 😱🤣 THE BIG BANG THEORY #shorts,Shorts,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
12,5496,Don't click the sound,Technology,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
13,5475,Why do we? 🤨 #sofimanassyan #relatable #trend,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
14,5473,Airport worker did not believe John Krasinski,News,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
15,5471,https://www.youtube.com/watch?v=3vSF0uqWVTo,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
16,5462,https://www.youtube.com/watch?v=OO1GlBpJlC4,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
17,5442,https://www.youtube.com/watch?v=BBaWH5Ql87E,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
18,5435,Tractor wale ke sath badmoshi nahi 😂 ❌,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
19,5415,I'm Excited To see If Kelly Can Meet This Challenge!,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
20,5407,agar nebulous #agario #nebulous #agar,Technology,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
21,5395,PLEASE ROLL,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
22,5391,WOULD YOU RATHER...,Reviews,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
23,5382,RHCP: Can't Stop,Podcast,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
24,5371,https://www.youtube.com/watch?v=boEKlG35qHM,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
25,5368,https://www.youtube.com/watch?v=_ytcgi2zHLE,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
26,5352,Now we have PROOF 😏 #VictoriaPfeifer,News,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
27,5346,Bhai ko red light bhi najar nhi aayi,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
28,5344,"""Spin it back, spin it back to me!” 🎶",Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
29,5335,https://www.youtube.com/watch?v=ZENnqGG-nEs,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
30,5334,Before and After 💀,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
31,5331,Saajna,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
32,5327,Raanjhan,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
33,5309,Aahatein,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
34,5308,Jaadui,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
35,5306,Mulaqat,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
36,5305,Kho Gaye,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
37,5299,Sahiba,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
38,5296,Tere Naal,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
39,5292,Meri Kya Khata,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
40,5284,早く倒せ！！#shorts,Shorts,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
41,5278,𝙒𝙝𝙚𝙣 𝙂𝙤𝙠𝙪 𝙎𝙝𝙤𝙬𝙚𝙙 𝙃𝙞𝙨 𝙈𝙤𝙣𝙠𝙚𝙮 𝙎𝙠𝙞𝙡𝙡𝙨 🐒 #𝙙𝙗𝙯 #𝙜𝙤𝙠𝙪 #𝙖𝙣𝙞𝙢𝙚 #𝙨𝙝𝙤𝙧𝙩𝙨 🔥🔥,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
42,5266,https://www.youtube.com/watch?v=b9tHIfCoJGo,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
43,5260,Just Wait 10 Years 🚑,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
44,5236,https://www.youtube.com/watch?v=jo9dTzRsKEw,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
45,5212,For Me,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
46,5181,Ek Din Na Full Attitude Se Tere Pump Aaunga Tenk Full Karvaunga | Vijay Devarakonda | Mrunal Thakur,Comedy,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
47,5109,"Far from being solo operators, most single-celled microbes are in complex relationships. In the ocean, the soil and your gut, they might battle and eat each other, exchange DNA, compete for nutrients, or feed on one another’s by-products. Sometimes they get even more intimate: One cell might slip inside another and make itself comfortable. If the conditions are just right, it might stay and be welcomed, sparking a relationship that could last for generations — or billions of years. This phenomenon of one cell living inside another, called endosymbiosis, has fueled the evolution of complex life.

Examples of endosymbiosis are everywhere. Mitochondria, the energy factories in your cells, were once free-living bacteria. Photosynthetic plants owe their sun-spun sugars to the chloroplast, which was also originally an independent organism. Many insects get essential nutrients from bacteria that live inside them. And last year researchers discovered the “nitroplast,” an endosymbiont that helps some algae process nitrogen.

So much of life relies on endosymbiotic relationships, but scientists have struggled to understand how they happen. How does an internalized cell evade digestion? How does it learn to reproduce inside its host? What makes a random merger of two independent organisms into a stable, lasting partnership?

Now, for the first time, researchers have watched the opening choreography of this microscopic dance by inducing endosymbiosis in the lab. After injecting bacteria into a fungus — a process that required creative problem-solving (and a bicycle pump) — the researchers managed to spark cooperation without killing the bacteria or the host. Their observations offer a glimpse into the conditions that make it possible for the same thing to happen in the microbial wild.

Read the full story: https://www.quantamagazine.org/scientists-re-create-the-microbial-dance-that-sparked-complex-life-20250102/",Reviews,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
48,5081,https://www.youtube.com/watch?v=hIRmHo4PAtI,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
49,5072,https://www.youtube.com/watch?v=oX0qIcXZKbU,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
50,5065,https://www.youtube.com/watch?v=5O0Ad7R9p3I,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
51,5062,https://www.youtube.com/watch?v=dbygbLlGEXE,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
52,5040,"🎁 Win a Hardcover Copy of The Pegasus System!
To have a chance at winning, all you need to do is participate in our Blitz tournament this Sunday—your score doesn’t matter. At the end of the tournament, I’ll use a random number generator based on the final rankings to pick the winner. Everyone who plays has an equal shot at the prize!

https://discord.gg/w9A3UYpa?event=1317523029789638718

About the tournament:
Each player gets 5 minutes plus a 3-second increment per move. The aim of this tournament is to play training games that don’t impact your rating. I’ll also be participating, so come ready for some friendly competition and learning! This is an unrated event, perfect for sharpening your skills in a relaxed, no-pressure setting",Gaming,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
53,5038,Los Angeles,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
54,5000,https://www.youtube.com/watch?v=JORwDNihlfc,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
55,4992,https://www.youtube.com/watch?v=PdvlgWsO0D0,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
56,4991,https://www.youtube.com/watch?v=zurA2iQTl9Y,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
57,4981,American living in Japan @mattjhannan,Technology,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
58,4980,https://www.youtube.com/watch?v=4kIkdRCK1iY,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
59,4975,Offside?,Reviews,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
60,4955,https://www.youtube.com/watch?v=4T0_QzG_bmE,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
61,4952,https://www.youtube.com/watch?v=k5KAOAEiSz0,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
62,4950,https://www.youtube.com/watch?v=0Rk649QzkVM,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
63,4946,https://www.youtube.com/watch?v=gReoWbXQ9Cw,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'self-care practices', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'emotional health discussion', 'therapy and mental health support', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'depression and emotional support', 'anxiety and stress management', 'sleep and mental wellness', 'social anxiety and relationships']",15
